Ienaso Garthoro,Tanner,omegazip2 
Sissy Kissikin,Adventurer,wesdo 
Rafe Cabrera,Nestor Mindling's Squire,spookstheskeleton 
Holden Smail,Rebel Peasant,falloutdud3 
Axel Cosmourn,Adventurer,jetnissan 
Syrio,Bum,jeffery jefferson 
Bella Webb,Courier,eliteawoo 
Tony Rossi,Weaponsmith,guy-mallory 
Mabon Frennedan,Znamak,omegazip2 
Eddard Von Hohenstein,Swashbuckler,tristanx7 
Robin Kett,Serpent,darkinfected 
Ted Bozz,Alchemist,beanstrom 
Dingus Bennett,Acrobat,plumpenjoyer 
Zhao Chi,Peasant,canyousmellwhattherockiscookin 
Jaydon Wallie,Adventurer,anewbyte 
Jet Party,Unknown,yungfunyuns 
Fulton Merery,Engineer,rag maggot 
Bobert Crockett,Unknown,dr peeter 
Halacan Vikary,Adventurer,saltylemmy 
Midar Sighora,Reporter,zombiegamer31 
Lucian Kozett,Unknown,neilzthegamer 
Vigg Caro,Unknown,steamed cans 
Merridew Wormworth,Burglar,jaroldean 
Basarab Mihai,Robber,plumpenjoyer 
Jarl Illyich,Mortus,haxwhite 
Huffie Coska,Rogue,falloutdud3 
Zon Kerrigan,Count,jetnissan 
Godric Manzarek,Armorsmith,darkinfected 
Verena Marca,Migrant Child,leverash 
Sandra Moche,Adventurer,chowder mcarthor 
Michael Meadows,Adventurer,nitche 
Asher Reyne,Baron,the respected man 
Tasso Roadman,Innkeeper,spelunkergod 
James Van Lierde,Geschef,mr. emperor 
Tristan Sandy,Bishop,red warrior42342432 
Emma Reyne,Successor,xperia15 
Xavier Valdragon,Soiler,god.titan 
Mize Gargalen,Docker,jeffery jefferson 
Lorcan Reyne,Heir,huntze 
Natalia Stonkavich,Amuser,spin 
Wendell Copperhead,Serpent,guy-mallory 
Lisa Reyne,Baroness,priszma 
Dusty Tilton,Unknown,whitemalealphamonster 
Wan Wan,Docker,teamstab 
Dumas Dreamer,Practicus,average_joe22 
Silas Minsc,Mortus,damianq 
Morlis Minsc,Hump,advisorman 
Gage,Bum,ivdrug 
Ryker Reed,Guest,tidetheman 
Zagrar Van Der Wyld,Esculap,matkotaur 
Styval Van Der Wyld,Serpent,villeri 
Slomrek Toadstomper,Merchant,farcry11 
Jenk Downs,Recruit,rockyroadranch 
Omar Van Lierde,Cerberus,mintmango 
Wes Van Lierde,Butler,bluethulhu 
Rezford Minsc,Patriarch,orderofthedarkoats 
Janie Toadstomper,Maid,gismo autismo 
Symon,Bum,army231 
Harch Baker,Sniffer,alexch2 
Vallen Munich,Inquisitor,silverdethuggles 
Curtis Cox,Pusher,omegazip2 
Hakon Ramessu,Censor,artur_lang 
Segomo Gargalen,Prophet,xanderdox 
Timmy Cooks,Unknown,ballastmonstergnargnar 
Adam Gargalen,Healer,anaedum 
Viktor Minsc,Jester,athare 
Wess Hess,Mortus,gubs48 
Neva Okaw,Fortune-teller,thegel 
Oscar,Bum,swagbag 
Demetrius Gregory,Fisher,nopls 
Wyatt Grimm,Pathfinder,feverish 
Joshua Stone,Burglar,pauls4eva 
Yohn Fields,Unknown,stinkethstonketh 
Vigil MacLeod,Adventurer,murdo_of_astora 
Gaius Grimm,Expedition Leader,richtofen 
Zom Kuznuts,Acrobat,bill chompski 
Roland Minsc,Misero,army231 
Snorri Minsc,Weaponsmith,tarixy 
Nisaba Minsc,Nun,swagbag 
Mejinik Stane,Robber,pauls4eva 
James Minsc,Metalsmith,mr. emperor 
Pritchard Vail,Blacksmith,gefrakt 
Zip Yrian,Rogue,ivdrug 
Frank Colbert,Gem Cutter,zombiegamer31 
Doofus Minsc,Armorsmith,amuys 
Russell Carver,Swindler,gb 
Dartian Finch,Peasant,goosevin 
Hannes Birdwell,Monk,glastonburymkii 
Emer Hastings,Factory Kid,goodguy1448 
Robb Kristol,Alchemist,fliche 
Elena Wyatt,Practicus,xperia15 
Iving Carmack,Unknown,whitemalealphamonster 
Rayner,Bum,pauls4eva 
Nick Cave,Incarn,goatman123 
Grimm Malkav,Robber,mintmango 
Xinax Robanir,Grunt,feverish 
Lucan Kemper,Rifleman,richtofen 
Gaal Balor,Grunt,average_joe22 
Erno Teagarden,Rifleman,fliche 
